Winners,Runner Up,SF1,SF2
Tottenham Hotspur,Wolverhampton Wanderers,Milan,Ferencváros
Liverpool,Borussia Mönchengladbach,Tottenham Hotspur,Twente
Feyenoord,Tottenham Hotspur,VfB Stuttgart,Lokomotive Leipzig
Borussia Mönchengladbach,Twente,Juventus,1. FC Köln
Liverpool,Club Brugge,Barcelona,Hamburger SV
Juventus,Athletic Bilbao,AEK Athens,Molenbeek
PSV,Bastia,Barcelona,Grasshopper
Borussia Mönchengladbach,Red Star Belgrade,Duisburg,Hertha BSC
Eintracht Frankfurt,Borussia Mönchengladbach,Bayern Munich,VfB Stuttgart
Ipswich Town,AZ,1. FC Köln,Sochaux
IFK Göteborg,Hamburg,Kaiserslautern,Radnički Niš
Anderlecht,Benfica,Universitatea Craiova,Bohemians
Tottenham Hotspur,Anderlecht,Nottingham Forest,Hajduk Split
Real Madrid,Videoton,Internazionale,Željezničar
Real Madrid,Köln,Internazionale,1. FC Köln
IFK Göteborg,Dundee United,Borussia Mönchengladbach,Swarovski Tirol
Bayer Leverkusen,Espanyol,Werder Bremen,Club Brugge
Napoli,VfB Stuttgart,Bayern Munich,Dynamo Dresden
Juventus,Fiorentina,1. FC Köln,Werder Bremen
Internazionale,Roma,Sporting CP,Brøndby
Ajax,Torino,Real Madrid,Genoa
Juventus,Borussia Dortmund,Paris Saint-Germain,Auxerre
Internazionale,Salzburg,Karlsruhe,Cagliari
Parma,Juventus,Borussia Dortmund,Bayer Leverkusen
Bayern Munich,Bordeaux,Barcelona,Slavia Prague
Schalke 04,Internazionale,Tenerife,Monaco
Internazionale,Lazio,Atlético Madrid,Spartak Moscow
Parma,Marseille,Atlético Madrid,Bologna
Galatasaray,Arsenal,Lens,Leeds United
Liverpool,Deportivo Alavés,Barcelona,Kaiserslautern
Feyenoord,Borussia Dortmund,Internazionale,Milan
Porto,Celtic,Lazio,Boavista
Valencia,Marseille,Villarreal,Newcastle United
CSKA Moscow,Sporting CP,Parma,AZ
Sevilla,Middlesbrough,Schalke 04,Steaua București
Sevilla,Espanyol,Werder Bremen,Osasuna
Zenit Saint Petersburg,Rangers,Bayern Munich,Fiorentina
Shakhtar Donetsk,Werder Bremen,Hamburger SV,Dynamo Kyiv
Atlético Madrid,Fulham,Liverpool,Hamburger SV
Porto,Braga,Benfica,Villarreal
Atlético Madrid,Athletic Bilbao,Valencia,Sporting CP
Chelsea,Benfica,Basel,Fenerbahçe
Sevilla,Benfica,Juventus,Valencia
Sevilla,Dnipro,Fiorentina,Napoli
Sevilla,Liverpool,Villarreal,Shakhtar Donetsk
Manchester United,Ajax,Lyon,Celta Vigo
Atlético Madrid,Marseille,Arsenal,Red Bull Salzburg
Chelsea,Arsenal,Valencia,Eintracht Frankfurt
