Team,Avg_Pos
Augsburg,14.538461538461538
Bayern Munich,1.5384615384615385
Borussia Dortmund,4.384615384615385
Borussia Monchengladbach,9.846153846153847
Eintracht Frankfurt,11.692307692307692
FC Koln,14.692307692307692
Fortuna Dusseldorf,18.153846153846153
Freiburg,14.0
Hertha Berlin,12.0
Hoffenheim,10.923076923076923
Leverkusen,5.153846153846154
Mainz,12.23076923076923
RB Leipzig,15.461538461538462
SC Paderborn 07,18.923076923076923
Schalke,5.846153846153846
Union Berlin,19.0
Werder Bremen,8.923076923076923
Wolfsburg,8.923076923076923
