,Club,Total Market Value,League
0,Bayern Munich,£780.66m,Bundesliga
1,Borussia Dortmund,£570.69m,Bundesliga
2,RB Leipzig,£468.99m,Bundesliga
3,Bayer 04 Leverkusen,£371.79m,Bundesliga
4,Borussia Mönchengladbach,£231.30m,Bundesliga
5,TSG 1899 Hoffenheim,£218.25m,Bundesliga
6,VfL Wolfsburg,£202.41m,Bundesliga
7,Hertha BSC,£200.88m,Bundesliga
8,FC Schalke 04,£185.83m,Bundesliga
9,Eintracht Frankfurt,£183.65m,Bundesliga
10,SV Werder Bremen,£152.98m,Bundesliga
11,1.FSV Mainz 05,£135.32m,Bundesliga
12,FC Augsburg,£115.43m,Bundesliga
13,SC Freiburg,£108.92m,Bundesliga
14,1. FC Köln,£85.32m,Bundesliga
15,Fortuna Düsseldorf,£73.40m,Bundesliga
16,1.FC Union Berlin,£31.91m,Bundesliga
17,SC Paderborn 07,£22.23m,Bundesliga
