,Club,Position,Player_Name,DOB,Nation,Contract_Expiry,Value,League
0,Bayern Munich,Goalkeeper,Manuel Neuer,"Mar 27, 1986 (33)",Germany,30.06.2021,£16.20m,Bundesliga
1,Bayern Munich,Goalkeeper,Sven Ulreich,"Aug 3, 1988 (31)",Germany,30.06.2021,£4.05m,Bundesliga
2,Bayern Munich,Goalkeeper,Christian Früchtl,"Jan 28, 2000 (19)",Germany,30.06.2020,£450k,Bundesliga
3,Bayern Munich,Goalkeeper,Ron-Thorben Hoffmann,"Apr 4, 1999 (20)",Germany,30.06.2021,£135k,Bundesliga
4,Bayern Munich,Defender,Lucas Hernández,"Feb 14, 1996 (23)",France,30.06.2024,£63.00m,Bundesliga
5,Bayern Munich,Defender,Niklas Süle,"Sep 3, 1995 (24)",Germany,30.06.2022,£54.00m,Bundesliga
6,Bayern Munich,Defender,Benjamin Pavard,"Mar 28, 1996 (23)",France,30.06.2024,£27.00m,Bundesliga
7,Bayern Munich,Defender,Jérôme Boateng,"Sep 3, 1988 (31)",Germany,30.06.2021,£18.00m,Bundesliga
8,Bayern Munich,Defender,Lars Lukas Mai,"Mar 31, 2000 (19)",Germany,30.06.2021,£2.25m,Bundesliga
9,Bayern Munich,Defender,David Alaba,"Jun 24, 1992 (27)",Austria,30.06.2021,£49.50m,Bundesliga
10,Bayern Munich,Defender,Joshua Kimmich,"Feb 8, 1995 (24)",Germany,30.06.2023,£63.00m,Bundesliga
11,Bayern Munich,Midfielder,Javi Martínez,"Sep 2, 1988 (31)",Spain,30.06.2021,£24.30m,Bundesliga
12,Bayern Munich,Midfielder,Thiago,"Apr 11, 1991 (28)",Spain,30.06.2021,£63.00m,Bundesliga
13,Bayern Munich,Midfielder,Leon Goretzka,"Feb 6, 1995 (24)",Germany,30.06.2022,£45.00m,Bundesliga
14,Bayern Munich,Midfielder,Corentin Tolisso,"Aug 3, 1994 (25)",France,30.06.2022,£36.00m,Bundesliga
15,Bayern Munich,Midfielder,Michaël Cuisance,"Aug 16, 1999 (20)",France,30.06.2024,£4.50m,Bundesliga
16,Bayern Munich,Midfielder,Philippe Coutinho,"Jun 12, 1992 (27)",Brazil,30.06.2020,£81.00m,Bundesliga
17,Bayern Munich,Midfielder,Sarpreet Singh,"Feb 20, 1999 (20)",New Zealand,30.06.2022,£675k,Bundesliga
18,Bayern Munich,Forward,Kingsley Coman,"Jun 13, 1996 (23)",France,30.06.2023,£45.00m,Bundesliga
19,Bayern Munich,Forward,Ivan Perisic,"Feb 2, 1989 (30)",Croatia,30.06.2020,£27.00m,Bundesliga
20,Bayern Munich,Forward,Alphonso Davies,"Nov 2, 2000 (18)",Canada,30.06.2023,£9.00m,Bundesliga
21,Bayern Munich,Forward,Serge Gnabry,"Jul 14, 1995 (24)",Germany,30.06.2023,£54.00m,Bundesliga
22,Bayern Munich,Forward,Thomas Müller,"Sep 13, 1989 (30)",Germany,30.06.2021,£31.50m,Bundesliga
23,Bayern Munich,Forward,Robert Lewandowski,"Aug 21, 1988 (31)",Poland,30.06.2023,£58.50m,Bundesliga
24,Bayern Munich,Forward,Fiete Arp,"Jan 6, 2000 (19)",Germany,30.06.2024,£3.60m,Bundesliga
25,Borussia Dortmund,Goalkeeper,Roman Bürki,"Nov 14, 1990 (28)",Switzerland,30.06.2021,£12.60m,Bundesliga
26,Borussia Dortmund,Goalkeeper,Marwin Hitz,"Sep 18, 1987 (31)",Switzerland,30.06.2021,£2.25m,Bundesliga
27,Borussia Dortmund,Goalkeeper,Luca Unbehaun,"Feb 27, 2001 (18)",Germany,30.06.2022,£360k,Bundesliga
28,Borussia Dortmund,Goalkeeper,Eric Oelschlägel,"Sep 20, 1995 (23)",Germany,30.06.2020,£270k,Bundesliga
29,Borussia Dortmund,Defender,Manuel Akanji,"Jul 19, 1995 (24)",Switzerland,30.06.2022,£36.00m,Bundesliga
