,range1win,range2win,range3win,range4win,range5win,range1run,range2run,range3run,range4run,range5run,range1sf1,range2sf1,range3sf1,range4sf1,range5sf1,range1sf2,range2sf2,range3sf2,range4sf2,range5sf2
2. Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allsvenskan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austrian Football Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgian First Division A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bundesliga,0,0,1,0,0,0,0,2,1,0,1,2,0,0,0,0,1,1,0,0
Czech First League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechoslovak First League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFL Championship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekstraklasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eredivisie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
First Professional Football League (Bulgaria),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortuna liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II liga (Poland),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Liga,2,3,1,1,1,0,2,0,0,0,2,1,3,2,0,0,0,2,0,1
Liga I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Nemzeti Bajnokság I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemzeti Bajnokság II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Premier League,1,0,1,1,1,2,0,1,2,2,0,0,0,1,2,0,2,0,2,1
Primeira Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Championship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Premiership,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Segunda División,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbian SuperLiga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serie A,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
Super League Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swiss Super League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Süper Lig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukrainian Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
