Team,Range1_Win,Range2_Win,Range3_Win,Range4_Win,Range5_Win,Range1_Run,Range2_Run,Range3_Run,Range4_Run,Range5_Run,Range1_SF,Range2_SF,Range3_SF,Range4_SF,Range5_SF
Liverpool,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1
Barcelona,0,1,1,1,2,0,0,0,0,0,1,0,2,2,1
Milan,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Manchester United,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1
Internazionale,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chelsea,0,0,1,0,0,0,0,0,1,1,0,1,0,1,3
Bayern Munich,0,0,1,0,0,0,0,1,1,0,1,3,0,0,0
Real Madrid,2,2,0,0,0,0,0,0,0,0,0,1,3,0,0
Arsenal,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Borussia Dortmund,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Atlético Madrid,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
Juventus,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Tottenham Hotspur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PSV Eindhoven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Villarreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Schalke 04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Manchester City,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Monaco,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Roma,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ajax,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
