Season,Winners,Runner Up,SF1,SF2
1956,Real Madrid,Reims,Milan,Hibernian
1957,Real Madrid,Fiorentina,Manchester United,Red Star Belgrade
1958,Real Madrid,Milan,Manchester United,Vasas
1959,Real Madrid,Reims,Atlético Madrid,Young Boys
1960,Real Madrid,Eintracht Frankfurt,Barcelona,Rangers
1961,Benfica,Barcelona,Hamburg,Rapid Wien
1962,Benfica,Real Madrid,Tottenham Hotspur,Standard Liège
1963,Milan,Benfica,Feyenoord,Dundee
1964,Internazionale,Real Madrid,Borussia Dortmund,Zürich
1965,Internazionale,Benfica,Liverpool,Győri ETO
1966,Real Madrid,Partizan,Manchester United,Inter Milan
1967,Celtic,Internazionale,CSKA Sofia,Dukla Praha
1968,Manchester United,Benfica,Real Madrid,Juventus
1969,Milan,Ajax,Manchester United,Spartak Trnava
1970,Feyenoord,Celtic,Leeds United,Legia Warsaw
1971,Ajax,Panathinaikos,Atlético Madrid,Red Star Belgrade
1972,Ajax,Internazionale,Benfica,Celtic
1973,Ajax,Juventus,Real Madrid,Derby County
1974,Bayern Munich,Atlético Madrid,Celtic,Újpest
1975,Bayern Munich,Leeds United,Barcelona,Saint-Étienne
1976,Bayern Munich,Saint-Étienne,Real Madrid,PSV Eindhoven
1977,Liverpool,Borussia Mönchengladbach,Dynamo Kyiv,Zürich
1978,Liverpool,Club Brugge,Juventus,Borussia Mönchengladbach
1979,Nottingham Forest,Malmö FF,Austria Wien,Köln
1980,Nottingham Forest,Hamburger SV,Real Madrid,Ajax
1981,Liverpool,Real Madrid,Bayern Munich,Inter Milan
1982,Aston Villa,Bayern Munich,CSKA Sofia,Anderlecht
1983,Hamburger SV,Juventus,Real Sociedad,Widzew Łódź
1984,Liverpool,Roma,Dinamo București,Dundee United
1985,Juventus,Liverpool,Panathinaikos,Bordeaux
1986,Steaua București,Barcelona,Anderlecht,IFK Göteborg
1987,Porto,Bayern Munich,Real Madrid,Dynamo Kyiv
1988,PSV Eindhoven,Benfica,Real Madrid,Steaua București
1989,Milan,Steaua București,Real Madrid,Galatasaray
1990,Milan,Benfica,Bayern Munich,Marseille
1991,Red Star Belgrade,Marseille,Bayern Munich,Spartak Moscow
1992,Barcelona,Sampdoria,Red Star Belgrade,Sparta Prague
1993,Marseille,Milan,Rangers,IFK Göteborg
1994,Milan,Barcelona,Monaco,Porto
1995,Ajax,Milan,Bayern Munich,Paris Saint-Germain
1996,Juventus,Ajax,Panathinaikos,Nantes
1997,Borussia Dortmund,Juventus,Manchester United,Ajax
1998,Real Madrid,Juventus,Borussia Dortmund,Monaco
1999,Manchester United,Bayern Munich,Juventus,Dynamo Kyiv
2000,Real Madrid,Valencia,Bayern Munich,Barcelona
2001,Bayern Munich,Valencia,Real Madrid,Leeds United
2002,Real Madrid,Bayer Leverkusen,Barcelona,Manchester United
2003,Milan,Juventus,Real Madrid,Inter Milan
2004,Porto,Monaco,Chelsea,Deportivo La Coruña
2005,Liverpool,Milan,Chelsea,PSV Eindhoven
2006,Barcelona,Arsenal,Milan,Villarreal
2007,Milan,Liverpool,Manchester United,Chelsea
2008,Manchester United,Chelsea,Barcelona,Liverpool
2009,Barcelona,Manchester United,Chelsea,Arsenal
2010,Internazionale,Bayern Munich,Barcelona,Lyon
2011,Barcelona,Manchester United,Real Madrid,Schalke 04
2012,Chelsea,Bayern Munich,Real Madrid,Barcelona
2013,Bayern Munich,Borussia Dortmund,Real Madrid,Barcelona
2014,Real Madrid,Atlético Madrid,Bayern Munich,Chelsea
2015,Barcelona,Juventus,Real Madrid,Bayern Munich
2016,Real Madrid,Atlético Madrid,Bayern Munich,Manchester City
2017,Real Madrid,Juventus,Atlético Madrid,Monaco
2018,Real Madrid,Liverpool,Bayern Munich,Roma
2019,Liverpool,Tottenham Hotspur,Barcelona,Ajax
