Season,Winner,Runner
29 April 2006,Paris Saint-Germain,Marseille
12 May 2007,Sochaux,Marseille
24 May 2008,Lyon,Paris Saint-Germain
9 May 2009,Guingamp,Rennes
1 May 2010,Paris Saint-Germain,Monaco
14 May 2011,Lille,Paris Saint-Germain
28 April 2012,Lyon,US Quevilly
31 May 2013,Bordeaux,Evian
3 May 2014,Guingamp,Rennes
30 May 2015,Paris Saint-Germain,Auxerre
21 May 2016,Paris Saint-Germain,Marseille
27 May 2017,Paris Saint-Germain,Angers
8 May 2018,Paris Saint-Germain,Les Herbiers
27 April 2019,Rennes,Paris Saint-Germain
