Pos,Team,P,W,D,L,F,A,GD,Pts
1,Man City,38,0,0,0,0,0,+65,86
2,Liverpool,38,0,0,0,0,0,+51,84
3,Chelsea,38,0,0,0,0,0,+44,82
4,Arsenal,38,0,0,0,0,0,+27,79
5,Everton,38,0,0,0,0,0,+22,72
6,Tottenham,38,0,0,0,0,0,+4,69
7,Man Utd,38,0,0,0,0,0,+21,64
8,Southampton,38,0,0,0,0,0,+8,56
9,Stoke,38,0,0,0,0,0,-7,50
10,Newcastle,38,0,0,0,0,0,-16,49
11,Crystal Palace,38,0,0,0,0,0,-15,45
12,Swansea,38,0,0,0,0,0,+0,42
13,West Ham,38,0,0,0,0,0,-11,40
14,Sunderland,38,0,0,0,0,0,-19,38
15,Aston Villa,38,0,0,0,0,0,-22,38
16,Hull,38,0,0,0,0,0,-15,37
17,West Brom,38,0,0,0,0,0,-16,36
18,Norwich,38,8,9,21,28,62,-34,33
19,Fulham,38,9,5,24,40,85,-45,32
20,Cardiff,38,7,9,22,32,74,-42,30
