Team,Avg_Pos
Ajax,1.6923076923076923
PSV Eindhoven,2.230769230769231
Twente,7.153846153846154
Vitesse Arnhem,8.461538461538462
AZ Alkmaar,5.076923076923077
FC Utrecht,7.769230769230769
Feyenoord,4.3076923076923075
Willem II,15.0
VVV-Venlo,16.923076923076923
Heracles Almelo,10.923076923076923
Sparta Rotterdam,16.923076923076923
PEC Zwolle,14.307692307692308
SC Heerenveen,7.923076923076923
ADO Den Haag,12.076923076923077
FC Groningen,8.153846153846153
Emmen,18.615384615384617
Fortuna Sittard,18.692307692307693
Waalwijk,17.384615384615383
