,Club,Total Market Value,League
0,Ajax Amsterdam,£316.80m,Eredivise
1,PSV Eindhoven,£173.25m,Eredivise
2,Feyenoord Rotterdam,£79.49m,Eredivise
3,AZ Alkmaar,£47.75m,Eredivise
4,FC Utrecht,£39.38m,Eredivise
5,Vitesse Arnhem,£26.19m,Eredivise
6,SC Heerenveen,£17.66m,Eredivise
7,FC Groningen,£16.76m,Eredivise
8,Heracles Almelo,£15.03m,Eredivise
9,PEC Zwolle,£14.67m,Eredivise
10,FC Twente Enschede,£14.63m,Eredivise
11,Willem II Tilburg,£14.15m,Eredivise
12,Sparta Rotterdam,£12.92m,Eredivise
13,VVV-Venlo,£12.71m,Eredivise
14,ADO Den Haag,£12.35m,Eredivise
15,Fortuna Sittard,£11.75m,Eredivise
16,FC Emmen,£10.06m,Eredivise
17,RKC Waalwijk,£8.60m,Eredivise
