,Club,Position,Player_Name,DOB,Nation,Contract_Expiry,Value,League
0,Ajax Amsterdam,Goalkeeper,André Onana,"Apr 2, 1996 (23)",Cameroon,30.06.2022,£31.50m,Eredivise
1,Ajax Amsterdam,Goalkeeper,Bruno Varela,"Nov 4, 1994 (24)",Portugal,30.06.2020,£2.70m,Eredivise
2,Ajax Amsterdam,Goalkeeper,Kjell Scherpen,"Jan 23, 2000 (19)",Netherlands,30.06.2023,£1.35m,Eredivise
3,Ajax Amsterdam,Goalkeeper,Benjamin van Leer,"Apr 9, 1992 (27)",Netherlands,30.06.2021,£810k,Eredivise
4,Ajax Amsterdam,Goalkeeper,Dominik Kotarski,"Feb 10, 2000 (19)",Croatia,30.06.2023,£450k,Eredivise
5,Ajax Amsterdam,Defender,Daley Blind,"Mar 9, 1990 (29)",Netherlands,30.06.2022,£21.60m,Eredivise
6,Ajax Amsterdam,Defender,Edson Álvarez,"Oct 24, 1997 (21)",Mexico,30.06.2024,£11.70m,Eredivise
7,Ajax Amsterdam,Defender,Lisandro Martínez,"Jan 18, 1998 (21)",Argentina,30.06.2023,£5.40m,Eredivise
8,Ajax Amsterdam,Defender,Kik Pierie,"Jul 20, 2000 (19)",Netherlands,30.06.2024,£3.60m,Eredivise
9,Ajax Amsterdam,Defender,Perr Schuurs,"Nov 26, 1999 (19)",Netherlands,30.06.2022,£1.80m,Eredivise
10,Ajax Amsterdam,Defender,Nicolás Tagliafico,"Aug 31, 1992 (27)",Argentina,30.06.2022,£25.20m,Eredivise
11,Ajax Amsterdam,Defender,Noussair Mazraoui,"Nov 14, 1997 (21)",Morocco,30.06.2022,£16.20m,Eredivise
12,Ajax Amsterdam,Defender,Joël Veltman,"Jan 15, 1992 (27)",Netherlands,30.06.2021,£6.30m,Eredivise
13,Ajax Amsterdam,Defender,Sergiño Dest,"Nov 3, 2000 (18)",United States,30.06.2022,£540k,Eredivise
14,Ajax Amsterdam,Midfielder,Carel Eiting,"Feb 11, 1998 (21)",Netherlands,30.06.2022,£3.60m,Eredivise
15,Ajax Amsterdam,Midfielder,Razvan Marin,"May 23, 1996 (23)",Romania,30.06.2024,£12.15m,Eredivise
16,Ajax Amsterdam,Midfielder,Ryan Gravenberch,"May 16, 2002 (17)",Netherlands,30.06.2021,£4.50m,Eredivise
17,Ajax Amsterdam,Midfielder,Jurgen Ekkelenkamp,"Apr 5, 2000 (19)",Netherlands,30.06.2022,£1.35m,Eredivise
18,Ajax Amsterdam,Midfielder,Donny van de Beek,"Apr 18, 1997 (22)",Netherlands,30.06.2022,£36.00m,Eredivise
19,Ajax Amsterdam,Midfielder,Zakaria Labyad,"Mar 9, 1993 (26)",Morocco,30.06.2022,£3.60m,Eredivise
20,Ajax Amsterdam,Midfielder,Siem de Jong,"Jan 28, 1989 (30)",Netherlands,30.06.2020,£1.80m,Eredivise
21,Ajax Amsterdam,Midfielder,Noa Lang,"Jun 17, 1999 (20)",Netherlands,30.06.2021,£900k,Eredivise
22,Ajax Amsterdam,Forward,Dusan Tadic,"Nov 20, 1988 (30)",Serbia,30.06.2023,£22.50m,Eredivise
23,Ajax Amsterdam,Forward,Quincy Promes,"Jan 4, 1992 (27)",Netherlands,30.06.2024,£16.20m,Eredivise
24,Ajax Amsterdam,Forward,Hassane Bandé,"Oct 30, 1998 (20)",Burkina Faso,30.06.2023,£6.75m,Eredivise
25,Ajax Amsterdam,Forward,David Neres,"Mar 3, 1997 (22)",Brazil,30.06.2023,£40.50m,Eredivise
26,Ajax Amsterdam,Forward,Hakim Ziyech,"Mar 19, 1993 (26)",Morocco,30.06.2022,£36.00m,Eredivise
27,Ajax Amsterdam,Forward,Klaas-Jan Huntelaar,"Aug 12, 1983 (36)",Netherlands,30.06.2020,£900k,Eredivise
28,Ajax Amsterdam,Forward,Lassina Traoré,"Jan 12, 2001 (18)",Burkina Faso,30.06.2022,£900k,Eredivise
29,PSV Eindhoven,Goalkeeper,Jeroen Zoet,"Jan 6, 1991 (28)",Netherlands,30.06.2021,£10.80m,Eredivise
30,PSV Eindhoven,Goalkeeper,Lars Unnerstall,"Jul 20, 1990 (29)",Germany,30.06.2021,£3.15m,Eredivise
31,PSV Eindhoven,Goalkeeper,Robbin Ruiter,"Mar 25, 1987 (32)",Netherlands,30.06.2021,£1.35m,Eredivise
32,PSV Eindhoven,Goalkeeper,Yanick van Osch,"Mar 24, 1997 (22)",Netherlands,30.06.2020,£450k,Eredivise
33,PSV Eindhoven,Defender,Timo Baumgartl,"Mar 4, 1996 (23)",Germany,30.06.2024,£8.10m,Eredivise
34,PSV Eindhoven,Defender,Nick Viergever,"Aug 3, 1989 (30)",Netherlands,30.06.2022,£3.60m,Eredivise
35,PSV Eindhoven,Defender,Daniel Schwaab,"Aug 23, 1988 (31)",Germany,30.06.2020,£3.15m,Eredivise
36,PSV Eindhoven,Defender,Toni Lato,"Nov 21, 1997 (21)",Spain,30.06.2020,£4.50m,Eredivise
37,PSV Eindhoven,Defender,Olivier Boscagli,"Nov 18, 1997 (21)",France,30.06.2023,£2.70m,Eredivise
38,PSV Eindhoven,Defender,Denzel Dumfries,"Apr 18, 1996 (23)",Netherlands,30.06.2023,£13.50m,Eredivise
39,PSV Eindhoven,Defender,Jordan Teze,"Sep 30, 1999 (19)",Netherlands,30.06.2021,£450k,Eredivise
40,PSV Eindhoven,Midfielder,Pablo Rosario,"Jan 7, 1997 (22)",Netherlands,30.06.2023,£11.70m,Eredivise
41,PSV Eindhoven,Midfielder,Jorrit Hendrix,"Feb 6, 1995 (24)",Netherlands,30.06.2021,£6.75m,Eredivise
42,PSV Eindhoven,Midfielder,Érick Gutiérrez,"Jun 15, 1995 (24)",Mexico,30.06.2023,£5.85m,Eredivise
43,PSV Eindhoven,Midfielder,Michal Sadilek,"May 31, 1999 (20)",Czech Republic,30.06.2022,£2.70m,Eredivise
44,PSV Eindhoven,Midfielder,Ryan Thomas,"Dec 20, 1994 (24)",New Zealand,30.06.2022,£2.25m,Eredivise
45,PSV Eindhoven,Midfielder,Ibrahim Afellay,"Apr 2, 1986 (33)",Netherlands,30.06.2020,£1.35m,Eredivise
46,PSV Eindhoven,Midfielder,Gastón Pereiro,"Jun 11, 1995 (24)",Uruguay,30.06.2020,£10.80m,Eredivise
47,PSV Eindhoven,Midfielder,Mohamed Ihattaren,"Feb 12, 2002 (17)",Netherlands,30.06.2022,£6.30m,Eredivise
48,PSV Eindhoven,Forward,Steven Bergwijn,"Oct 8, 1997 (21)",Netherlands,30.06.2023,£31.50m,Eredivise
49,PSV Eindhoven,Forward,Bruma,"Oct 24, 1994 (24)",Portugal,30.06.2023,£9.00m,Eredivise
50,PSV Eindhoven,Forward,Cody Gakpo,"May 7, 1999 (20)",Netherlands,30.06.2023,£3.60m,Eredivise
51,PSV Eindhoven,Forward,Ritsu Doan,"Jun 16, 1998 (21)",Japan,30.06.2024,£9.00m,Eredivise
52,PSV Eindhoven,Forward,Sam Lammers,"Apr 30, 1997 (22)",Netherlands,30.06.2021,£8.10m,Eredivise
53,PSV Eindhoven,Forward,Donyell Malen,"Jan 19, 1999 (20)",Netherlands,30.06.2024,£6.30m,Eredivise
54,PSV Eindhoven,Forward,Konstantinos Mitroglou,"Mar 12, 1988 (31)",Greece,30.06.2020,£6.30m,Eredivise
55,Feyenoord Rotterdam,Goalkeeper,Justin Bijlow,"Jan 22, 1998 (21)",Netherlands,30.06.2023,£2.70m,Eredivise
56,Feyenoord Rotterdam,Goalkeeper,Kenneth Vermeer,"Jan 10, 1986 (33)",Netherlands,30.06.2020,£1.80m,Eredivise
