,range1win,range2win,range3win,range4win,range5win,range1run,range2run,range3run,range4run,range5run,range1sf1,range2sf1,range3sf1,range4sf1,range5sf1,range1sf2,range2sf2,range3sf2,range4sf2,range5sf2
2. Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3. Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allsvenskan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austrian Football Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Belgian First Division A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bundesliga,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0
Championnat National 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatian First Football League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech First League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danish Superliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFL Championship,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
EFL League One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eredivisie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
La Liga,1,3,1,1,2,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1
Liga I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ligue 1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ligue 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemzeti Bajnokság I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Premier League,2,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Premier League of Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primeira Liga,0,0,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0
Regionalliga Nordost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Premier League,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Championship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Premiership,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Segunda División,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbian SuperLiga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serie A,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0
Super League Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swiss Super League,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Süper Lig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ukrainian Amateur Football Championship,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukrainian Premier League,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Unavailable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
