Team,Range1_Win,Range2_Win,Range3_Win,Range4_Win,Range5_Win,Range1_Run,Range2_Run,Range3_Run,Range4_Run,Range5_Run,Range1_SF,Range2_SF,Range3_SF,Range4_SF,Range5_SF
CSKA Moscow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sevilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zenit Saint Petersburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakhtar Donetsk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Madrid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporting CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espanyol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rangers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Werder Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athletic Bilbao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benfica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dnipro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajax,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Marseille,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Arsenal,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schalke 04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayern Munich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamburger SV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Basel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villarreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steaua București,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osasuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dynamo Kyiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fenerbahçe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celta Vigo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Red Bull Salzburg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eintracht Frankfurt,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
