Season,Winners,Runner Up,SF1,SF2
1972,Tottenham Hotspur,Wolverhampton Wanderers,Milan,Ferencváros
1973,Liverpool,Borussia Mönchengladbach,Tottenham Hotspur,Twente
1974,Feyenoord,Tottenham Hotspur,VfB Stuttgart,Lokomotive Leipzig
1975,Borussia Mönchengladbach,Twente,Juventus,1. FC Köln
1976,Liverpool,Club Brugge,Barcelona,Hamburger SV
1977,Juventus,Athletic Bilbao,AEK Athens,Molenbeek
1978,PSV,Bastia,Barcelona,Grasshopper
1979,Borussia Mönchengladbach,Red Star Belgrade,Duisburg,Hertha BSC
1980,Eintracht Frankfurt,Borussia Mönchengladbach,Bayern Munich,VfB Stuttgart
1981,Ipswich Town,AZ,1. FC Köln,Sochaux
1982,IFK Göteborg,Hamburg,Kaiserslautern,Radnički Niš
1983,Anderlecht,Benfica,Universitatea Craiova,Bohemians
1984,Tottenham Hotspur,Anderlecht,Nottingham Forest,Hajduk Split
1985,Real Madrid,Videoton,Internazionale,Željezničar
1986,Real Madrid,Köln,Internazionale,1. FC Köln
1987,IFK Göteborg,Dundee United,Borussia Mönchengladbach,Swarovski Tirol
1988,Bayer Leverkusen,Espanyol,Werder Bremen,Club Brugge
1989,Napoli,VfB Stuttgart,Bayern Munich,Dynamo Dresden
1990,Juventus,Fiorentina,1. FC Köln,Werder Bremen
1991,Internazionale,Roma,Sporting CP,Brøndby
1992,Ajax,Torino,Real Madrid,Genoa
1993,Juventus,Borussia Dortmund,Paris Saint-Germain,Auxerre
1994,Internazionale,Salzburg,Karlsruhe,Cagliari
1995,Parma,Juventus,Borussia Dortmund,Bayer Leverkusen
1996,Bayern Munich,Bordeaux,Barcelona,Slavia Prague
1997,Schalke 04,Internazionale,Tenerife,Monaco
1998,Internazionale,Lazio,Atlético Madrid,Spartak Moscow
1999,Parma,Marseille,Atlético Madrid,Bologna
2000,Galatasaray,Arsenal,Lens,Leeds United
2001,Liverpool,Deportivo Alavés,Barcelona,Kaiserslautern
2002,Feyenoord,Borussia Dortmund,Internazionale,Milan
2003,Porto,Celtic,Lazio,Boavista
2004,Valencia,Marseille,Villarreal,Newcastle United
2005,CSKA Moscow,Sporting CP,Parma,AZ
2006,Sevilla,Middlesbrough,Schalke 04,Steaua București
2007,Sevilla,Espanyol,Werder Bremen,Osasuna
2008,Zenit Saint Petersburg,Rangers,Bayern Munich,Fiorentina
2009,Shakhtar Donetsk,Werder Bremen,Hamburger SV,Dynamo Kyiv
2010,Atlético Madrid,Fulham,Liverpool,Hamburger SV
2011,Porto,Braga,Benfica,Villarreal
2012,Atlético Madrid,Athletic Bilbao,Valencia,Sporting CP
2013,Chelsea,Benfica,Basel,Fenerbahçe
2014,Sevilla,Benfica,Juventus,Valencia
2015,Sevilla,Dnipro,Fiorentina,Napoli
2016,Sevilla,Liverpool,Villarreal,Shakhtar Donetsk
2017,Manchester United,Ajax,Lyon,Celta Vigo
2018,Atlético Madrid,Marseille,Arsenal,Red Bull Salzburg
2019,Chelsea,Arsenal,Valencia,Eintracht Frankfurt
