,Club,Total Market Value,League
0,Real Madrid,£1.07bn,La Liga
1,FC Barcelona,£1.06bn,La Liga
2,Atlético Madrid,£785.25m,La Liga
3,Valencia CF,£445.95m,La Liga
4,Real Sociedad,£278.82m,La Liga
5,Real Betis Balompié,£263.25m,La Liga
6,Sevilla FC,£254.88m,La Liga
7,Celta de Vigo,£203.67m,La Liga
8,Athletic Bilbao,£201.60m,La Liga
9,Villarreal CF,£190.53m,La Liga
10,Getafe CF,£136.08m,La Liga
11,RCD Espanyol Barcelona,£135.27m,La Liga
12,CD Leganés,£96.12m,La Liga
13,Levante UD,£92.16m,La Liga
14,Real Valladolid CF,£83.52m,La Liga
15,Deportivo Alavés,£81.18m,La Liga
16,SD Eibar,£62.64m,La Liga
17,RCD Mallorca,£52.70m,La Liga
18,CA Osasuna,£39.15m,La Liga
19,Granada CF,£30.15m,La Liga
