,Club,Position,Player_Name,DOB,Nation,Contract_Expiry,Value,League
0,Real Madrid,Goalkeeper,Thibaut Courtois,"May 11, 1992 (27)",Belgium,30.06.2024,£49.50m,La Liga
1,Real Madrid,Goalkeeper,Alphonse Areola,"Feb 27, 1993 (26)",France,30.06.2020,£15.75m,La Liga
2,Real Madrid,Defender,Raphaël Varane,"Apr 25, 1993 (26)",France,30.06.2022,£63.00m,La Liga
3,Real Madrid,Defender,Éder Militão,"Jan 18, 1998 (21)",Brazil,30.06.2025,£45.00m,La Liga
4,Real Madrid,Defender,Sergio Ramos,"Mar 30, 1986 (33)",Spain,30.06.2021,£22.50m,La Liga
5,Real Madrid,Defender,Nacho,"Jan 18, 1990 (29)",Spain,30.06.2020,£18.00m,La Liga
6,Real Madrid,Defender,Ferland Mendy,"Jun 8, 1995 (24)",France,30.06.2025,£36.00m,La Liga
7,Real Madrid,Defender,Marcelo,"May 12, 1988 (31)",Brazil,30.06.2022,£22.50m,La Liga
8,Real Madrid,Defender,Daniel Carvajal,"Jan 11, 1992 (27)",Spain,30.06.2022,£45.00m,La Liga
9,Real Madrid,Defender,Álvaro Odriozola,"Dec 14, 1995 (23)",Spain,30.06.2024,£22.50m,La Liga
10,Real Madrid,Midfielder,Casemiro,"Feb 23, 1992 (27)",Brazil,30.06.2021,£54.00m,La Liga
11,Real Madrid,Midfielder,Toni Kroos,"Jan 4, 1990 (29)",Germany,30.06.2023,£54.00m,La Liga
12,Real Madrid,Midfielder,Luka Modric,"Sep 9, 1985 (34)",Croatia,30.06.2020,£18.00m,La Liga
13,Real Madrid,Midfielder,Federico Valverde,"Jul 22, 1998 (21)",Uruguay,30.06.2021,£18.00m,La Liga
14,Real Madrid,Midfielder,Isco,"Apr 21, 1992 (27)",Spain,30.06.2022,£54.00m,La Liga
15,Real Madrid,Midfielder,James Rodríguez,"Jul 12, 1991 (28)",Colombia,30.06.2021,£45.00m,La Liga
16,Real Madrid,Midfielder,Brahim Díaz,"Aug 3, 1999 (20)",Spain,30.06.2025,£15.30m,La Liga
17,Real Madrid,Forward,Eden Hazard,"Jan 7, 1991 (28)",Belgium,30.06.2024,£135.00m,La Liga
18,Real Madrid,Forward,Vinícius Júnior,"Jul 12, 2000 (19)",Brazil,30.06.2025,£63.00m,La Liga
19,Real Madrid,Forward,Marco Asensio,"Jan 21, 1996 (23)",Spain,30.06.2023,£54.00m,La Liga
20,Real Madrid,Forward,Rodrygo,"Jan 9, 2001 (18)",Brazil,30.06.2025,£36.00m,La Liga
21,Real Madrid,Forward,Gareth Bale,"Jul 16, 1989 (30)",Wales,30.06.2022,£54.00m,La Liga
22,Real Madrid,Forward,Lucas Vázquez,"Jul 1, 1991 (28)",Spain,30.06.2021,£22.50m,La Liga
23,Real Madrid,Forward,Luka Jovic,"Dec 23, 1997 (21)",Serbia,30.06.2025,£54.00m,La Liga
24,Real Madrid,Forward,Karim Benzema,"Dec 19, 1987 (31)",France,30.06.2021,£36.00m,La Liga
25,Real Madrid,Forward,Mariano Díaz,"Aug 1, 1993 (26)",Dominican Republic,30.06.2023,£18.00m,La Liga
26,FC Barcelona,Goalkeeper,Marc-André ter Stegen,"Apr 30, 1992 (27)",Germany,30.06.2022,£81.00m,La Liga
27,FC Barcelona,Goalkeeper,Neto,"Jul 19, 1989 (30)",Brazil,30.06.2023,£16.20m,La Liga
28,FC Barcelona,Goalkeeper,Iñaki Peña,"Mar 2, 1999 (20)",Spain,30.06.2021,£2.25m,La Liga
29,FC Barcelona,Defender,Clément Lenglet,"Jun 17, 1995 (24)",France,30.06.2023,£54.00m,La Liga
30,FC Barcelona,Defender,Samuel Umtiti,"Nov 14, 1993 (25)",France,30.06.2023,£40.50m,La Liga
31,FC Barcelona,Defender,Gerard Piqué,"Feb 2, 1987 (32)",Spain,30.06.2022,£31.50m,La Liga
32,FC Barcelona,Defender,Jean-Clair Todibo,"Dec 30, 1999 (19)",France,30.06.2023,£7.20m,La Liga
33,FC Barcelona,Defender,Jordi Alba,"Mar 21, 1989 (30)",Spain,30.06.2024,£45.00m,La Liga
34,FC Barcelona,Defender,Júnior Firpo,"Aug 22, 1996 (23)",Spain,30.06.2024,£22.50m,La Liga
35,FC Barcelona,Defender,Nélson Semedo,"Nov 16, 1993 (25)",Portugal,30.06.2022,£36.00m,La Liga
36,FC Barcelona,Defender,Moussa Wagué,"Oct 4, 1998 (20)",Senegal,30.06.2023,£4.50m,La Liga
37,FC Barcelona,Midfielder,Sergio Busquets,"Jul 16, 1988 (31)",Spain,30.06.2023,£45.00m,La Liga
38,FC Barcelona,Midfielder,Frenkie de Jong,"May 12, 1997 (22)",Netherlands,30.06.2024,£76.50m,La Liga
39,FC Barcelona,Midfielder,Arthur,"Aug 12, 1996 (23)",Brazil,30.06.2024,£63.00m,La Liga
40,FC Barcelona,Midfielder,Sergi Roberto,"Feb 7, 1992 (27)",Spain,30.06.2022,£45.00m,La Liga
41,FC Barcelona,Midfielder,Ivan Rakitic,"Mar 10, 1988 (31)",Croatia,30.06.2021,£31.50m,La Liga
42,FC Barcelona,Midfielder,Carles Aleñà,"Jan 5, 1998 (21)",Spain,30.06.2022,£27.00m,La Liga
43,FC Barcelona,Midfielder,Arturo Vidal,"May 22, 1987 (32)",Chile,30.06.2021,£13.50m,La Liga
44,FC Barcelona,Forward,Ousmane Dembélé,"May 15, 1997 (22)",France,30.06.2022,£90.00m,La Liga
45,FC Barcelona,Forward,Ansu Fati,"Oct 31, 2002 (16)",Guinea-Bissau,30.06.2022,£22.50m,La Liga
46,FC Barcelona,Forward,Lionel Messi,"Jun 24, 1987 (32)",Argentina,30.06.2021,£135.00m,La Liga
47,FC Barcelona,Forward,Carles Pérez,"Feb 16, 1998 (21)",Spain,30.06.2020,£9.00m,La Liga
48,FC Barcelona,Forward,Antoine Griezmann,"Mar 21, 1991 (28)",France,30.06.2024,£117.00m,La Liga
49,FC Barcelona,Forward,Luis Suárez,"Jan 24, 1987 (32)",Uruguay,30.06.2021,£45.00m,La Liga
50,Atlético Madrid,Goalkeeper,Jan Oblak,"Jan 7, 1993 (26)",Slovenia,30.06.2023,£90.00m,La Liga
51,Atlético Madrid,Goalkeeper,Antonio Adán,"May 13, 1987 (32)",Spain,30.06.2020,£1.35m,La Liga
52,Atlético Madrid,Defender,José Giménez,"Jan 20, 1995 (24)",Uruguay,30.06.2023,£63.00m,La Liga
53,Atlético Madrid,Defender,Stefan Savic,"Jan 8, 1991 (28)",Montenegro,30.06.2020,£31.50m,La Liga
54,Atlético Madrid,Defender,Mario Hermoso,"Jun 18, 1995 (24)",Spain,30.06.2024,£22.50m,La Liga
55,Atlético Madrid,Defender,Felipe,"May 16, 1989 (30)",Brazil,30.06.2022,£18.00m,La Liga
56,Atlético Madrid,Defender,Renan Lodi,"Apr 8, 1998 (21)",Brazil,30.06.2025,£13.50m,La Liga
57,Atlético Madrid,Defender,Kieran Trippier,"Sep 19, 1990 (28)",England,30.06.2022,£31.50m,La Liga
58,Atlético Madrid,Defender,Sime Vrsaljko,"Jan 10, 1992 (27)",Croatia,30.06.2022,£18.00m,La Liga
59,Atlético Madrid,Defender,Santiago Arias,"Jan 13, 1992 (27)",Colombia,30.06.2023,£16.20m,La Liga
60,Atlético Madrid,Midfielder,Thomas,"Jun 13, 1993 (26)",Ghana,30.06.2023,£45.00m,La Liga
61,Atlético Madrid,Midfielder,Marcos Llorente,"Jan 30, 1995 (24)",Spain,30.06.2024,£27.00m,La Liga
62,Atlético Madrid,Midfielder,Saúl Ñíguez,"Nov 21, 1994 (24)",Spain,30.06.2026,£81.00m,La Liga
63,Atlético Madrid,Midfielder,Héctor Herrera,"Apr 19, 1990 (29)",Mexico,30.06.2022,£19.80m,La Liga
64,Atlético Madrid,Midfielder,Koke,"Jan 8, 1992 (27)",Spain,30.06.2024,£63.00m,La Liga
65,Atlético Madrid,Forward,Thomas Lemar,"Nov 12, 1995 (23)",France,30.06.2023,£36.00m,La Liga
66,Atlético Madrid,Forward,Vitolo,"Nov 2, 1989 (29)",Spain,30.06.2022,£16.20m,La Liga
67,Atlético Madrid,Forward,Ángel Correa,"Mar 9, 1995 (24)",Argentina,30.06.2024,£31.50m,La Liga
68,Atlético Madrid,Forward,João Félix,"Nov 10, 1999 (19)",Portugal,30.06.2026,£90.00m,La Liga
69,Atlético Madrid,Forward,Álvaro Morata,"Oct 23, 1992 (26)",Spain,30.06.2020,£45.00m,La Liga
70,Atlético Madrid,Forward,Diego Costa,"Oct 7, 1988 (30)",Spain,30.06.2021,£22.50m,La Liga
71,Atlético Madrid,Forward,Ivan Saponjic,"Aug 2, 1997 (22)",Serbia,30.06.2022,£2.70m,La Liga
72,Valencia CF,Goalkeeper,Jasper Cillessen,"Apr 22, 1989 (30)",Netherlands,30.06.2023,£16.20m,La Liga
73,Valencia CF,Goalkeeper,Jaume Doménech,"Nov 5, 1990 (28)",Spain,30.06.2022,£2.25m,La Liga
74,Valencia CF,Defender,Mouctar Diakhaby,"Dec 19, 1996 (22)",France,30.06.2023,£27.00m,La Liga
75,Valencia CF,Defender,Gabriel Paulista,"Nov 26, 1990 (28)",Brazil,30.06.2022,£18.00m,La Liga
76,Valencia CF,Defender,Eliaquim Mangala,"Feb 13, 1991 (28)",France,30.06.2021,£9.00m,La Liga
77,Valencia CF,Defender,Ezequiel Garay,"Oct 10, 1986 (32)",Argentina,30.06.2020,£7.20m,La Liga
78,Valencia CF,Defender,José Gayà,"May 25, 1995 (24)",Spain,30.06.2023,£45.00m,La Liga
79,Valencia CF,Defender,Jaume Costa,"Mar 18, 1988 (31)",Spain,30.06.2020,£3.60m,La Liga
80,Valencia CF,Defender,Daniel Wass,"May 31, 1989 (30)",Denmark,30.06.2022,£12.60m,La Liga
81,Valencia CF,Defender,Cristiano Piccini,"Sep 26, 1992 (26)",Italy,30.06.2022,£9.00m,La Liga
82,Valencia CF,Defender,Thierry Correia,"Mar 9, 1999 (20)",Portugal,30.06.2024,£5.40m,La Liga
83,Valencia CF,Midfielder,Francis Coquelin,"May 13, 1991 (28)",France,30.06.2022,£18.00m,La Liga
84,Valencia CF,Midfielder,Geoffrey Kondogbia,"Feb 15, 1993 (26)",Central African Republic,30.06.2022,£27.00m,La Liga
85,Valencia CF,Midfielder,Dani Parejo,"Apr 16, 1989 (30)",Spain,30.06.2022,£27.00m,La Liga
86,Valencia CF,Midfielder,Kang-in Lee,"Feb 19, 2001 (18)","Korea, South",30.06.2022,£18.00m,La Liga
87,Valencia CF,Forward,Gonçalo Guedes,"Nov 29, 1996 (22)",Portugal,30.06.2023,£36.00m,La Liga
88,Valencia CF,Forward,Denis Cheryshev,"Dec 26, 1990 (28)",Russia,30.06.2022,£5.40m,La Liga
89,Valencia CF,Forward,Manu Vallejo,"Feb 14, 1997 (22)",Spain,30.06.2024,£4.50m,La Liga
90,Valencia CF,Forward,Carlos Soler,"Jan 2, 1997 (22)",Spain,30.06.2021,£45.00m,La Liga
91,Valencia CF,Forward,Ferran Torres,"Feb 29, 2000 (19)",Spain,30.06.2021,£18.00m,La Liga
92,Valencia CF,Forward,Rodrigo,"Mar 6, 1991 (28)",Spain,30.06.2022,£45.00m,La Liga
93,Valencia CF,Forward,Maxi Gómez,"Aug 14, 1996 (23)",Uruguay,30.06.2024,£36.00m,La Liga
94,Valencia CF,Forward,Kévin Gameiro,"May 9, 1987 (32)",France,30.06.2021,£8.10m,La Liga
95,Valencia CF,Forward,Rubén Sobrino,"Jun 1, 1992 (27)",Spain,30.06.2022,£2.70m,La Liga
96,Real Sociedad,Goalkeeper,Alex Remiro,"Mar 24, 1995 (24)",Spain,30.06.2023,£1.35m,La Liga
97,Real Sociedad,Goalkeeper,Miguel Ángel Moyà,"Apr 2, 1984 (35)",Spain,30.06.2020,£1.35m,La Liga
98,Real Sociedad,Goalkeeper,Andoni Zubiaurre,"Dec 4, 1996 (22)",Spain,30.06.2022,£270k,La Liga
99,Real Sociedad,Defender,Diego Llorente,"Aug 16, 1993 (26)",Spain,30.06.2022,£22.50m,La Liga
100,Real Sociedad,Defender,Aritz Elustondo,"Mar 28, 1994 (25)",Spain,30.06.2022,£9.00m,La Liga
101,Real Sociedad,Defender,Modibo Sagnan,"Apr 14, 1999 (20)",France,30.06.2024,£4.05m,La Liga
102,Real Sociedad,Defender,Robin Le Normand,"Nov 11, 1996 (22)",France,30.06.2022,£3.60m,La Liga
103,Real Sociedad,Defender,Nacho Monreal,"Feb 26, 1986 (33)",Spain,30.06.2021,£7.20m,La Liga
104,Real Sociedad,Defender,Aihen Muñoz,"Aug 16, 1997 (22)",Spain,30.06.2022,£6.75m,La Liga
105,Real Sociedad,Defender,Joseba Zaldua,"Jun 24, 1992 (27)",Spain,30.06.2023,£9.00m,La Liga
106,Real Sociedad,Defender,Andoni Gorosabel,"Aug 4, 1996 (23)",Spain,30.06.2021,£1.35m,La Liga
107,Real Sociedad,Midfielder,Igor Zubeldia,"Mar 30, 1997 (22)",Spain,30.06.2024,£27.00m,La Liga
108,Real Sociedad,Midfielder,Asier Illarramendi,"Mar 8, 1990 (29)",Spain,30.06.2023,£22.50m,La Liga
109,Real Sociedad,Midfielder,Mikel Merino,"Jun 22, 1996 (23)",Spain,30.06.2023,£13.50m,La Liga
110,Real Sociedad,Midfielder,Rubén Pardo,"Oct 22, 1992 (26)",Spain,30.06.2020,£3.60m,La Liga
111,Real Sociedad,Midfielder,Ander Guevara,"Jul 7, 1997 (22)",Spain,30.06.2024,£2.25m,La Liga
112,Real Sociedad,Midfielder,David Zurutuza,"Jul 19, 1986 (33)",Spain,30.06.2020,£2.25m,La Liga
113,Real Sociedad,Midfielder,Portu,"May 21, 1992 (27)",Spain,30.06.2024,£9.00m,La Liga
114,Real Sociedad,Midfielder,Luca Sangalli,"Feb 10, 1995 (24)",Spain,30.06.2022,£3.60m,La Liga
115,Real Sociedad,Forward,Mikel Oyarzabal,"Apr 21, 1997 (22)",Spain,30.06.2024,£54.00m,La Liga
116,Real Sociedad,Forward,Ander Barrenetxea,"Dec 27, 2001 (17)",Spain,30.06.2025,£9.00m,La Liga
117,Real Sociedad,Forward,Martin Ödegaard,"Dec 17, 1998 (20)",Norway,30.06.2020,£18.00m,La Liga
118,Real Sociedad,Forward,Adnan Januzaj,"Feb 5, 1995 (24)",Belgium,30.06.2022,£13.50m,La Liga
119,Real Sociedad,Forward,Willian José,"Nov 23, 1991 (27)",Brazil,30.06.2024,£27.00m,La Liga
120,Real Sociedad,Forward,Alexander Isak,"Sep 21, 1999 (19)",Sweden,30.06.2024,£7.20m,La Liga
121,Real Betis Balompié,Goalkeeper,Joel Robles,"Jun 17, 1990 (29)",Spain,30.06.2022,£4.50m,La Liga
122,Real Betis Balompié,Goalkeeper,Dani Martín,"Jul 8, 1998 (21)",Spain,30.06.2024,£4.50m,La Liga
123,Real Betis Balompié,Defender,Marc Bartra,"Jan 15, 1991 (28)",Spain,30.06.2023,£19.80m,La Liga
124,Real Betis Balompié,Defender,Aïssa Mandi,"Oct 22, 1991 (27)",Algeria,30.06.2021,£14.40m,La Liga
125,Real Betis Balompié,Defender,Sidnei,"Aug 23, 1989 (30)",Brazil,30.06.2022,£9.00m,La Liga
126,Real Betis Balompié,Defender,Zouhair Feddal,"Dec 23, 1989 (29)",Morocco,30.06.2021,£4.50m,La Liga
127,Real Betis Balompié,Defender,Alfonso Pedraza,"Apr 9, 1996 (23)",Spain,30.06.2020,£15.75m,La Liga
128,Real Betis Balompié,Defender,Álex Moreno,"Jun 8, 1993 (26)",Spain,30.06.2024,£6.30m,La Liga
129,Real Betis Balompié,Defender,Emerson,"Jan 14, 1999 (20)",Brazil,30.06.2021,£5.40m,La Liga
130,Real Betis Balompié,Defender,Francis Guerrero,"Mar 11, 1996 (23)",Spain,30.06.2023,£3.60m,La Liga
131,Real Betis Balompié,Defender,Antonio Barragán,"Jun 12, 1987 (32)",Spain,30.06.2020,£1.80m,La Liga
132,Real Betis Balompié,Midfielder,William Carvalho,"Apr 7, 1992 (27)",Portugal,30.06.2023,£22.50m,La Liga
133,Real Betis Balompié,Midfielder,Javi García,"Feb 8, 1987 (32)",Spain,30.06.2021,£1.80m,La Liga
134,Real Betis Balompié,Midfielder,Andrés Guardado,"Sep 28, 1986 (32)",Mexico,30.06.2020,£4.50m,La Liga
135,Real Betis Balompié,Midfielder,Wilfrid Kaptoum,"Jul 7, 1996 (23)",Cameroon,30.06.2020,£3.60m,La Liga
136,Real Betis Balompié,Midfielder,Nabil Fekir,"Jul 18, 1993 (26)",France,30.06.2023,£54.00m,La Liga
137,Real Betis Balompié,Midfielder,Sergio Canales,"Feb 16, 1991 (28)",Spain,30.06.2022,£22.50m,La Liga
138,Real Betis Balompié,Forward,Diego Lainez,"Jun 9, 2000 (19)",Mexico,30.06.2024,£12.60m,La Liga
139,Real Betis Balompié,Forward,Cristian Tello,"Aug 11, 1991 (28)",Spain,30.06.2022,£9.00m,La Liga
140,Real Betis Balompié,Forward,Juanmi,"May 20, 1993 (26)",Spain,30.06.2024,£7.20m,La Liga
141,Real Betis Balompié,Forward,Joaquín,"Jul 21, 1981 (38)",Spain,30.06.2020,£1.80m,La Liga
142,Real Betis Balompié,Forward,Borja Iglesias,"Jan 17, 1993 (26)",Spain,30.06.2024,£25.20m,La Liga
143,Real Betis Balompié,Forward,Loren Morón,"Dec 30, 1993 (25)",Spain,30.06.2022,£9.00m,La Liga
144,Sevilla FC,Goalkeeper,Tomas Vaclik,"Mar 29, 1989 (30)",Czech Republic,30.06.2021,£16.20m,La Liga
