Team,Avg_Pos
Amiens,19.923076923076923
Angers,18.23076923076923
Bordeaux,6.461538461538462
Brest,20.076923076923077
Dijon,19.46153846153846
Lille,6.3076923076923075
Marseille,4.538461538461538
Metz,20.153846153846153
Monaco,9.846153846153847
Montpellier,12.076923076923077
Nantes,16.0
Nice,10.153846153846153
Nimes,20.076923076923077
Olympique Lyonnais,2.769230769230769
Paris Saint Germain,4.923076923076923
Reims,18.0
Rennes,8.0
St Etienne,8.153846153846153
Strasbourg,19.615384615384617
Toulouse,11.923076923076923
