,Club,Total Market Value,League
0,Paris Saint-Germain,£949.50m,Ligue 1
1,AS Monaco,£318.38m,Ligue 1
2,Olympique Lyon,£306.32m,Ligue 1
3,Olympique Marseille,£208.49m,Ligue 1
4,LOSC Lille,£161.73m,Ligue 1
5,OGC Nice,£153.50m,Ligue 1
6,FC Girondins Bordeaux,£120.92m,Ligue 1
7,Stade Rennais FC,£117.14m,Ligue 1
8,AS Saint-Étienne,£105.93m,Ligue 1
9,RC Strasbourg Alsace,£83.30m,Ligue 1
10,HSC Montpellier,£81.27m,Ligue 1
11,FC Toulouse,£69.66m,Ligue 1
12,FC Nantes,£68.36m,Ligue 1
13,Stade Reims,£62.64m,Ligue 1
14,SC Amiens,£61.16m,Ligue 1
15,SCO Angers,£57.47m,Ligue 1
16,Nîmes Olympique,£42.71m,Ligue 1
17,FCO Dijon,£38.12m,Ligue 1
18,FC Metz,£34.65m,Ligue 1
19,Stade Brest 29,£32.85m,Ligue 1
