,Club,Position,Player_Name,DOB,Nation,Contract_Expiry,Value,League
0,Paris Saint-Germain,Goalkeeper,Sergio Rico,"Sep 1, 1993 (26)",Spain,30.06.2020,£10.80m,Ligue 1
1,Paris Saint-Germain,Goalkeeper,Keylor Navas,"Dec 15, 1986 (32)",Costa Rica,30.06.2023,£9.00m,Ligue 1
2,Paris Saint-Germain,Goalkeeper,Marcin Bulka,"Oct 4, 1999 (19)",Poland,30.06.2021,-,Ligue 1
3,Paris Saint-Germain,Goalkeeper,Garissone Innocent,"Apr 16, 2000 (19)",France,30.06.2021,-,Ligue 1
4,Paris Saint-Germain,Defender,Marquinhos,"May 14, 1994 (25)",Brazil,30.06.2022,£58.50m,Ligue 1
5,Paris Saint-Germain,Defender,Thilo Kehrer,"Sep 21, 1996 (22)",Germany,30.06.2023,£31.50m,Ligue 1
6,Paris Saint-Germain,Defender,Abdou Diallo,"May 4, 1996 (23)",France,30.06.2024,£31.50m,Ligue 1
7,Paris Saint-Germain,Defender,Presnel Kimpembe,"Aug 13, 1995 (24)",France,30.06.2023,£27.00m,Ligue 1
8,Paris Saint-Germain,Defender,Thiago Silva,"Sep 22, 1984 (34)",Brazil,30.06.2020,£9.00m,Ligue 1
9,Paris Saint-Germain,Defender,Loïc Mbe Soh,"Jun 13, 2001 (18)",France,30.06.2021,£2.70m,Ligue 1
10,Paris Saint-Germain,Defender,Layvin Kurzawa,"Sep 4, 1992 (27)",France,30.06.2020,£15.75m,Ligue 1
11,Paris Saint-Germain,Defender,Juan Bernat,"Mar 1, 1993 (26)",Spain,30.06.2021,£13.50m,Ligue 1
12,Paris Saint-Germain,Defender,Mitchel Bakker,"Jun 20, 2000 (19)",Netherlands,30.06.2023,£450k,Ligue 1
13,Paris Saint-Germain,Defender,Thomas Meunier,"Sep 12, 1991 (28)",Belgium,30.06.2020,£27.00m,Ligue 1
14,Paris Saint-Germain,Defender,Colin Dagba,"Sep 6, 1998 (21)",France,30.06.2023,£10.80m,Ligue 1
15,Paris Saint-Germain,Midfielder,Leandro Paredes,"Jun 29, 1994 (25)",Argentina,30.06.2023,£31.50m,Ligue 1
16,Paris Saint-Germain,Midfielder,Idrissa Gueye,"Sep 26, 1989 (29)",Senegal,30.06.2023,£22.50m,Ligue 1
17,Paris Saint-Germain,Midfielder,Tanguy Kouassi,"Jun 7, 2002 (17)",France,-,-,Ligue 1
18,Paris Saint-Germain,Midfielder,Marco Verratti,"Nov 5, 1992 (26)",Italy,30.06.2021,£67.50m,Ligue 1
19,Paris Saint-Germain,Midfielder,Julian Draxler,"Sep 20, 1993 (25)",Germany,30.06.2021,£31.50m,Ligue 1
20,Paris Saint-Germain,Midfielder,Ander Herrera,"Aug 14, 1989 (30)",Spain,30.06.2024,£22.50m,Ligue 1
21,Paris Saint-Germain,Midfielder,Pablo Sarabia,"May 11, 1992 (27)",Spain,30.06.2024,£36.00m,Ligue 1
22,Paris Saint-Germain,Midfielder,Adil Aouchiche,"Jul 15, 2002 (17)",France,30.06.2022,-,Ligue 1
23,Paris Saint-Germain,Forward,Neymar,"Feb 5, 1992 (27)",Brazil,30.06.2022,£162.00m,Ligue 1
24,Paris Saint-Germain,Forward,Eric Maxim Choupo-Moting,"Mar 23, 1989 (30)",Cameroon,30.06.2020,£4.50m,Ligue 1
25,Paris Saint-Germain,Forward,Ángel Di María,"Feb 14, 1988 (31)",Argentina,30.06.2021,£36.00m,Ligue 1
26,Paris Saint-Germain,Forward,Kylian Mbappé,"Dec 20, 1998 (20)",France,30.06.2022,£180.00m,Ligue 1
27,Paris Saint-Germain,Forward,Mauro Icardi,"Feb 19, 1993 (26)",Argentina,30.06.2020,£72.00m,Ligue 1
28,Paris Saint-Germain,Forward,Edinson Cavani,"Feb 14, 1987 (32)",Uruguay,30.06.2020,£36.00m,Ligue 1
29,AS Monaco,Goalkeeper,Benjamin Lecomte,"Apr 26, 1991 (28)",France,30.06.2024,£15.30m,Ligue 1
30,AS Monaco,Goalkeeper,Danijel Subasic,"Oct 27, 1984 (34)",Croatia,30.06.2020,£1.80m,Ligue 1
31,AS Monaco,Goalkeeper,Seydou Sy,"Dec 12, 1995 (23)",Senegal,30.06.2020,£675k,Ligue 1
32,AS Monaco,Goalkeeper,Diego Benaglio,"Sep 8, 1983 (36)",Switzerland,30.06.2020,£450k,Ligue 1
33,AS Monaco,Defender,Guillermo Maripán,"May 6, 1994 (25)",Chile,30.06.2024,£13.50m,Ligue 1
34,AS Monaco,Defender,Jemerson,"Aug 24, 1992 (27)",Brazil,30.06.2020,£9.00m,Ligue 1
35,AS Monaco,Defender,Benoît Badiashile,"Mar 26, 2001 (18)",France,30.06.2021,£8.10m,Ligue 1
36,AS Monaco,Defender,Kamil Glik,"Feb 3, 1988 (31)",Poland,30.06.2021,£7.20m,Ligue 1
37,AS Monaco,Defender,Naldo,"Sep 10, 1982 (37)",Brazil,30.06.2020,£450k,Ligue 1
38,AS Monaco,Defender,Fodé Ballo-Touré,"Jan 3, 1997 (22)",France,30.06.2023,£10.80m,Ligue 1
39,AS Monaco,Defender,Arthur Zagre,"Oct 4, 2001 (17)",France,30.06.2022,-,Ligue 1
40,AS Monaco,Defender,Benjamin Henrichs,"Feb 23, 1997 (22)",Germany,30.06.2023,£13.50m,Ligue 1
41,AS Monaco,Defender,Ruben Aguilar,"Apr 26, 1993 (26)",France,30.06.2024,£7.20m,Ligue 1
42,AS Monaco,Midfielder,Tiemoué Bakayoko,"Aug 17, 1994 (25)",France,30.06.2020,£31.50m,Ligue 1
