Team,Avg_Pos
Arsenal,3.8461538461538463
Aston Villa,14.153846153846153
Bournemouth,18.46153846153846
Brighton,20.23076923076923
Burnley,18.692307692307693
Chelsea,3.230769230769231
Crystal Palace,16.923076923076923
Everton,7.230769230769231
Leicester,16.384615384615383
Liverpool,4.846153846153846
Man City,4.3076923076923075
Man Utd,3.0
Newcastle,14.153846153846153
Norwich,19.153846153846153
Sheffield Utd,20.76923076923077
Southampton,15.538461538461538
Tottenham,5.0
Watford,18.692307692307693
West Ham,12.923076923076923
Wolverhampton,19.076923076923077
