,Club,Total Market Value,League
0,Manchester City,£1.15bn,Premier League
1,Liverpool FC,£965.03m,Premier League
2,Tottenham Hotspur,£885.60m,Premier League
3,Chelsea FC,£726.30m,Premier League
4,Manchester United,£677.93m,Premier League
5,Arsenal FC,£615.38m,Premier League
6,Everton FC,£455.40m,Premier League
7,Leicester City,£369.23m,Premier League
8,West Ham United,£313.88m,Premier League
9,AFC Bournemouth,£300.83m,Premier League
10,Wolverhampton Wanderers,£300.38m,Premier League
11,Newcastle United,£246.22m,Premier League
12,Southampton FC,£213.30m,Premier League
13,Crystal Palace,£212.90m,Premier League
14,Watford FC,£211.64m,Premier League
15,Brighton & Hove Albion,£195.39m,Premier League
16,Burnley FC,£178.88m,Premier League
17,Aston Villa,£171.90m,Premier League
18,Norwich City,£109.44m,Premier League
19,Sheffield United,£82.31m,Premier League
