Pos,Team,P,W,D,L,F,A,GD,Pts
1,Benfica,34,25,7,2,72,18,+54,82
2,Porto,34,22,10,2,71,19,+52,76
3,Sporting Lisbon,34,21,7,6,68,36,+32,70
4,Vitoria Guimaraes,34,18,8,8,50,39,+11,62
5,Braga,34,15,9,10,51,36,+15,54
6,Maritimo,34,13,11,10,34,32,+2,50
7,Rio Ave,34,14,7,13,41,39,+2,49
8,Feirense,34,14,6,14,31,45,-14,48
9,Boavista,34,10,13,11,33,36,-3,43
10,Estoril-Praia,34,10,8,16,36,42,-6,38
11,GD Chaves,34,8,14,12,35,42,-7,38
12,Vitoria Setubal,34,10,8,16,30,39,-9,38
13,Pacos Ferreira,34,8,12,14,32,45,-13,36
14,Belenenses,34,9,9,16,27,45,-18,36
15,Moreirense,34,8,9,17,33,48,-15,33
16,Tondela,34,8,8,18,29,52,-23,32
17,Arouca,34,9,5,20,33,57,-24,32
18,CD Nacional,34,4,9,21,22,58,-36,21
