,Club,Total Market Value,League
0,Juventus FC,£777.60m,Serie A
1,SSC Napoli,£563.22m,Serie A
2,Inter Milan,£482.31m,Serie A
3,AC Milan,£459.90m,Serie A
4,AS Roma,£371.39m,Serie A
5,SS Lazio,£262.85m,Serie A
6,Atalanta BC,£226.89m,Serie A
7,ACF Fiorentina,£225.99m,Serie A
8,Torino FC,£207.83m,Serie A
9,Cagliari Calcio,£152.53m,Serie A
10,US Sassuolo,£142.70m,Serie A
11,UC Sampdoria,£139.39m,Serie A
12,Udinese Calcio,£132.75m,Serie A
13,Genoa CFC,£124.07m,Serie A
14,Bologna FC 1909,£86.22m,Serie A
15,Brescia Calcio,£82.78m,Serie A
16,Parma Calcio 1913,£78.14m,Serie A
17,SPAL,£65.36m,Serie A
18,Hellas Verona,£43.02m,Serie A
19,US Lecce,£41.74m,Serie A
