,Club,Position,Player_Name,DOB,Nation,Contract_Expiry,Value,League
0,Juventus FC,Goalkeeper,Wojciech Szczesny,"Apr 18, 1990 (29)",Poland,30.06.2021,£31.50m,Serie A
1,Juventus FC,Goalkeeper,Mattia Perin,"Nov 10, 1992 (26)",Italy,30.06.2022,£11.70m,Serie A
2,Juventus FC,Goalkeeper,Gianluigi Buffon,"Jan 28, 1978 (41)",Italy,30.06.2020,£900k,Serie A
3,Juventus FC,Goalkeeper,Carlo Pinsoglio,"Mar 16, 1990 (29)",Italy,30.06.2020,£450k,Serie A
4,Juventus FC,Defender,Matthijs de Ligt,"Aug 12, 1999 (20)",Netherlands,30.06.2024,£67.50m,Serie A
5,Juventus FC,Defender,Leonardo Bonucci,"May 1, 1987 (32)",Italy,30.06.2023,£25.20m,Serie A
6,Juventus FC,Defender,Daniele Rugani,"Jul 29, 1994 (25)",Italy,30.06.2023,£19.80m,Serie A
7,Juventus FC,Defender,Merih Demiral,"Mar 5, 1998 (21)",Turkey,30.06.2024,£13.50m,Serie A
8,Juventus FC,Defender,Giorgio Chiellini,"Aug 14, 1984 (35)",Italy,30.06.2020,£6.75m,Serie A
9,Juventus FC,Defender,Alex Sandro,"Jan 26, 1991 (28)",Brazil,30.06.2023,£40.50m,Serie A
10,Juventus FC,Defender,Danilo,"Jul 15, 1991 (28)",Brazil,30.06.2024,£18.00m,Serie A
11,Juventus FC,Defender,Mattia De Sciglio,"Oct 20, 1992 (26)",Italy,30.06.2022,£12.60m,Serie A
12,Juventus FC,Midfielder,Emre Can,"Jan 12, 1994 (25)",Germany,30.06.2022,£36.00m,Serie A
13,Juventus FC,Midfielder,Miralem Pjanic,"Apr 2, 1990 (29)",Bosnia-Herzegovina,30.06.2023,£63.00m,Serie A
14,Juventus FC,Midfielder,Aaron Ramsey,"Dec 26, 1990 (28)",Wales,30.06.2023,£36.00m,Serie A
15,Juventus FC,Midfielder,Adrien Rabiot,"Apr 3, 1995 (24)",France,30.06.2023,£31.50m,Serie A
16,Juventus FC,Midfielder,Rodrigo Bentancur,"Jun 25, 1997 (22)",Uruguay,30.06.2024,£31.50m,Serie A
17,Juventus FC,Midfielder,Blaise Matuidi,"Apr 9, 1987 (32)",France,30.06.2020,£19.80m,Serie A
18,Juventus FC,Midfielder,Sami Khedira,"Apr 4, 1987 (32)",Germany,30.06.2021,£6.30m,Serie A
19,Juventus FC,Forward,Cristiano Ronaldo,"Feb 5, 1985 (34)",Portugal,30.06.2022,£81.00m,Serie A
20,Juventus FC,Forward,Marko Pjaca,"May 6, 1995 (24)",Croatia,30.06.2021,£9.00m,Serie A
21,Juventus FC,Forward,Federico Bernardeschi,"Feb 16, 1994 (25)",Italy,30.06.2022,£40.50m,Serie A
22,Juventus FC,Forward,Douglas Costa,"Sep 14, 1990 (29)",Brazil,30.06.2022,£34.20m,Serie A
