,Team,Tier
0,Chelsea,1
1,Bayern Munich,1
2,Barcelona,1
3,Real Madrid,1
4,Man Utd,2
5,Tottenham,2
6,Man City,2
7,Atletico Madrid,2
8,Juventus,2
9,Liverpool,2
10,Arsenal,3
11,AC Milan,3
12,AS Roma,3
13,Monaco,3
14,Ajax,3
15,Leverkusen,4
16,Bayer Leverkusen,4
17,Napoli,4
18,Everton,4
19,Valencia,4
20,Sevilla,4
21,Villarreal,4
22,PSV Eindhoven,4
23,Schalke,4
24,Borussia Dortmund,4
25,Inter Milan,4
26,West Ham,5
27,Real Sociedad,5
28,Celta de Vigo,5
29,Torino,5
30,Southampton,5
31,Aston Villa,5
32,Hertha Berlin,5
33,Hoffenheim,5
34,Real Betis,5
35,Fiorentina,5
36,Lazio,5
37,Athletic Bilbao,5
38,Espanyol,5
39,Bordeaux,5
40,Rennes,5
41,Werder Bremen,5
42,Udinese,5
43,Getafe,5
44,Wolfsburg,5
45,Marseille,5
46,Olympique Lyonnais,5
47,Leicester,5
48,Paris Saint Germain,5
49,Borussia Monchengladbach,6
50,Atalanta,6
51,Newcastle,6
52,AZ Alkmaar,6
53,Feyenoord,6
54,SC Heerenveen,6
55,FC Groningen,6
56,Vitesse Arnhem,6
57,FC Utrecht,6
58,Twente,6
59,Sampdoria,6
60,Lille,6
61,Genoa,6
62,St Etienne,6
63,Nice,6
64,Eintracht Frankfurt,6
65,Crystal Palace,7
66,Bournemouth,7
67,Brighton,7
68,Burnley,7
69,Norwich,7
70,Sheffield Utd,7
71,Watford,7
72,Wolverhampton,7
73,Granada,7
74,Levante,7
75,Osasuna,7
76,Alaves,7
77,Real Valladolid,7
78,Real Mallorca,7
79,Eibar,7
80,Leganes,7
81,RB Leipzig,7
82,SC Paderborn 07,7
83,Augsburg,7
84,FC Koln,7
85,Fortuna Dusseldorf,7
86,Freiburg,7
87,Mainz,7
88,Union Berlin,7
89,SPAL,7
90,Bologna,7
91,Brescia,7
92,Cagliari,7
93,Lecce,7
94,Parma,7
95,Sassuolo,7
96,Verona,7
97,Amiens,7
98,Angers,7
99,Brest,7
100,Dijon,7
101,Metz,7
102,Montpellier,7
103,Nantes,7
104,Nimes,7
105,Reims,7
106,Strasbourg,7
107,Toulouse,7
108,VVV-Venlo,7
109,Heracles Almelo,7
110,Sparta Rotterdam,7
111,PEC Zwolle,7
112,ADO Den Haag,7
113,Fortuna Sittard,7
114,Willem II,7
115,Emmen,7
116,Waalwijk,7
