,Team,Tier
0,Chelsea,1
1,FC Bayern München,1
2,FC Barcelona,1
3,Real Madrid,1
4,Manchester United,2
5,Tottenham Hotspur,2
6,Manchester City,2
7,Atlético Madrid,2
8,Juventus,2
9,Liverpool,2
10,Arsenal,3
11,Milan,3
12,Roma,3
13,AS Monaco,3
14,Ajax,3
16,Bayer 04 Leverkusen,4
17,Napoli,4
18,Everton,4
19,Valencia CF,4
20,Sevilla FC,4
21,Villarreal CF,4
22,PSV,4
23,FC Schalke 04,4
24,Borussia Dortmund,4
25,Inter,4
26,West Ham United,5
27,Real Sociedad,5
28,RC Celta,5
29,Torino,5
30,Southampton,5
31,Aston Villa,5
32,Hertha BSC,5
33,TSG 1899 Hoffenheim,5
34,Real Betis,5
35,Fiorentina,5
36,Lazio,5
37,Athletic Club de Bilbao,5
38,RCD Espanyol,5
39,FC Girondins de Bordeaux,5
40,Stade Rennais FC,5
41,SV Werder Bremen,5
42,Udinese,5
43,Getafe CF,5
44,VfL Wolfsburg,5
45,Olympique de Marseille,5
46,Olympique Lyonnais,5
47,Leicester City,5
48,Paris Saint-Germain,5
49,Borussia Mönchengladbach,6
50,Atalanta,6
51,Newcastle United,6
52,AZ Alkmaar,6
53,Feyenoord,6
54,SC Heerenveen,6
55,FC Groningen,6
56,Vitesse,6
57,FC Utrecht,6
58,FC Twente,6
59,Sampdoria,6
60,LOSC Lille,6
61,Genoa,6
62,AS Saint-Étienne,6
63,OGC Nice,6
64,Eintracht Frankfurt,6
65,Crystal Palace,7
66,Bournemouth,7
67,Brighton & Hove Albion,7
68,Burnley,7
69,Norwich City,7
70,Sheffield United,7
71,Watford,7
72,Wolverhampton Wanderers,7
73,Granada CF,7
74,Levante UD,7
75,CA Osasuna,7
76,Deportivo Alavés,7
77,Real Valladolid CF,7
78,RCD Mallorca,7
79,SD Eibar,7
80,CD Leganés,7
81,RB Leipzig,7
82,SC Paderborn 07,7
83,FC Augsburg,7
84,1. FC Köln,7
85,Fortuna Düsseldorf,7
86,SC Freiburg,7
87,1. FSV Mainz 05,7
88,1. FC Union Berlin,7
89,SPAL,7
90,Bologna,7
91,Brescia,7
92,Cagliari,7
93,Lecce,7
94,Parma,7
95,Sassuolo,7
96,Hellas Verona,7
97,Amiens SC,7
98,Angers SCO,7
99,Stade Brestois 29,7
100,Dijon FCO,7
101,FC Metz,7
102,Montpellier HSC,7
103,FC Nantes,7
104,Nîmes Olympique,7
105,Stade de Reims,7
106,RC Strasbourg Alsace,7
107,Toulouse Football Club,7
108,VVV-Venlo,7
109,Heracles Almelo,7
110,Sparta Rotterdam,7
111,PEC Zwolle,7
112,ADO Den Haag,7
113,Fortuna Sittard,7
114,Willem II,7
115,FC Emmen,7
116,RKC Waalwijk,7
