Rank,Player,Team,Value in GBP
50,Mikel Oyarzabal,Real Sociedad,£67.44m
49,Lucas Torreira,Arsenal,£67.53m
48,Kai Havertz,Bayer Leverkusen,£68.60m
47,Pierre-Emerick Aubameyang,Arsenal,£68.95m
46,Rodrigo Bentancur,Juventus,£69.13m
45,Thomas Lemar,Atletico Madrid,£69.75m
44,Krzysztof Piątek,AC Milan,£70.38m
43,Sergio Aguero,Manchester City,£71.44m
42,Anthony Martial,Manchester United,£71.80m
41,Joshua Kimmich,Bayern Munich,£72.33m
40,N’Golo Kante,Chelsea,£74.37m
39,John Stones,Manchester City,£74.82m
38,Luis Suarez,Barcelona,£75.53m
37,Vinicius Junior,Real Madrid,£75.80m
36,Fabinho,Liverpool,£76.60m
35,Marco Asensio,Real Madrid,£76.69m
34,Kepa,Chelsea,£77.48m
33,Rodri,Atletico Madrid,£78.37m
32,Andrew Robertson,Liverpool,£78.46m
31,Saul Niguez,Atletico Madrid,£83.35m
30,Marc-Andre ter Stegen,Barcelona,£84.59m
29,Heung-min Son,Tottenham Hotspur,£86.37m
28,Richarlison,Everton,£87.61m
27,Dele Alli,Tottenham Hotspur,£91.08m
26,Ederson,Manchester City,£91.52m
25,Aymeric Laporte,Manchester City,£93.66m
24,Alisson,Liverpool,£95.52m
23,Paulo Dybala,Juventus,£96.15m
22,Virgil van Dijk,Liverpool,£99.61m
21,Ousmane Dembele,Barcelona,£104.05m
20,Cristiano Ronaldo,Juventus,£104.94m
19,Eden Hazard,Real Madrid,£107.25m
18,Marcus Rashford,Manchester United,£109.74m
17,Neymar,Paris Saint-Germain,£110.81m
16,Paul Pogba,Manchester United,£111.16m
15,Romelu Lukaku,Manchester United,£111.25m
14,Philippe Coutinho,Barcelona,£114.98m
13,Trent Alexander-Arnold,Liverpool,£115.69m
12,Gabriel Jesus,Manchester City,£116.05m
11,Bernardo Silva,Manchester City,£121.65m
10,Leroy Sane,Manchester City,£121.83m
9,Antoine Griezmann,Atletico Madrid,£127.78m
8,Roberto Firmino,Liverpool,£128.13m
7,Harry Kane,Tottenham Hotspur,£137.91m
6,Sadio Mane,Liverpool,£140.22m
5,Jadon Sancho,Borussia Dortmund,£141.64m
4,Lionel Messi,Barcelona,£148.75m
3,Raheem Sterling,Manchester City,£184.65m
2,Mohamed Salah,Liverpool,£195.13m
1,Kylian Mbappe,Paris Saint-Germain,£223.92m
