,Team,Arrival_19,Departure_19,Arrival_18,Departure_18,Arrival_17,Departure_17,League,Total_Arrivals,Total_Departures,Average Transfer Spend
0,Manchester City,168.00,69.00,78.59,54.10,317.50,91.35,Premier League,564.09,214.45,116.54666666666668
1,Liverpool FC,1.90,41.60,182.20,41.10,173.88,194.50,Premier League,357.98,277.2,26.926666666666677
2,Tottenham Hotspur,114.00,35.00,0,5.35,121.50,103.80,Premier League,235.5,144.15,30.45
3,Chelsea FC,56.00,45.00,145.75,208.80,69.55,260.50,Premier League,271.3,514.3,-80.99999999999999
4,Manchester United,159.00,69.50,82.70,30.55,198.40,45.50,Premier League,440.1,145.55,98.18333333333334
5,Arsenal FC,152.40,53.55,80.15,7.90,152.85,158.00,Premier League,385.4,219.45,55.31666666666666
6,Everton FC,119.90,80.50,99.80,28.65,203.20,126.38,Premier League,422.9,235.53,62.456666666666656
7,Leicester City,106.10,87.30,114.60,95.80,87.70,47.90,Premier League,308.4,231.0,25.799999999999994
8,West Ham United,0,79.70,53.38,93.90,14.87,56.80,Premier League,68.25,230.40000000000003,-54.05000000000001
9,AFC Bournemouth,56.45,34.50,89.10,20.20,34.30,0,Premier League,179.85000000000002,54.7,41.716666666666676
10,Wolverhampton Wanderers,0,97.00,3.40,112.25,23.30,24.61,Premier League,26.7,233.86,-69.05333333333334
11,Newcastle United,68.40,35.64,59.75,47.98,44.30,19.52,Premier League,172.45,103.14,23.103333333333328
12,Southampton FC,58.60,26.40,62.25,23.80,61.25,98.35,Premier League,182.1,148.55,11.183333333333328
13,Crystal Palace,7.60,55.75,11.85,0.35,48.95,3.00,Premier League,68.4,59.1,3.1000000000000014
14,Watford FC,40.00,23.00,30.10,51.84,71.40,18.74,Premier League,141.5,93.58,15.973333333333334
15,Brighton & Hove Albion,67.75,2.50,88.36,13.40,67.00,0,Premier League,223.11,15.9,69.07000000000001
16,Burnley FC,9.40,8.80,33.00,8.00,35.74,50.00,Premier League,78.14,66.8,3.780000000000001
17,Aston Villa,148.60,0,19.10,15.55,2.80,17.83,Premier League,170.5,33.379999999999995,45.70666666666667
18,Norwich City,4.17,1.00,5.45,37.60,15.12,33.64,Premier League,24.740000000000002,72.24000000000001,-15.833333333333336
19,Sheffield United,47.50,0,6.70,12.40,5.64,0,Premier League,59.84,12.4,15.813333333333334
0,Real Madrid,307.50,130.00,162.75,134.10,40.50,128.50,La Liga,510.75,392.6,39.383333333333326
1,FC Barcelona,255.00,156.40,129.10,134.05,374.50,232.50,La Liga,758.6,522.95,78.55
2,Atlético Madrid,56.00,243.50,313.10,160.50,64.90,102.00,La Liga,434.0,506.0,-24.0
3,Valencia CF,12.00,75.00,45.00,127.00,68.80,55.00,La Liga,125.8,257.0,-43.73333333333333
4,Real Sociedad,0.25,21.25,9.50,12.00,30.80,21.50,La Liga,40.55,54.75,-4.733333333333334
5,Real Betis Balompié,95.75,69.50,42.50,48.25,38.50,27.07,La Liga,176.75,144.82,10.643333333333336
6,Sevilla FC,0,158.75,101.20,79.25,91.25,78.05,La Liga,192.45,316.05,-41.20000000000001
7,Celta de Vigo,22.90,19.65,29.50,34.80,25.80,13.20,La Liga,78.2,67.64999999999999,3.5166666666666706
8,Athletic Bilbao,0,0,0,32.90,80.00,32.00,La Liga,80.0,64.9,5.033333333333331
9,Villarreal CF,21.80,62.00,92.90,59.80,46.10,67.30,La Liga,160.8,189.1,-9.433333333333328
10,Getafe CF,12.00,2.25,27.25,5.00,12.90,1.60,La Liga,52.15,8.85,14.433333333333332
11,RCD Espanyol Barcelona,18.50,59.00,22.60,30.80,17.05,7.70,La Liga,58.150000000000006,97.5,-13.116666666666665
12,CD Leganés,21.20,2.02,18.70,23.00,6.10,0.13,La Liga,46.0,25.15,6.95
13,Levante UD,12.60,4.80,26.00,33.00,9.10,14.05,La Liga,47.7,51.849999999999994,-1.3833333333333304
14,Real Valladolid CF,1.00,8.00,10.10,0,0.05,3.40,La Liga,11.15,11.4,-0.08333333333333333
15,Deportivo Alavés,10.77,18.00,10.02,9.00,12.33,7.50,La Liga,33.12,34.5,-0.46000000000000085
16,SD Eibar,17.10,27.00,8.00,7.75,6.95,10.00,La Liga,32.050000000000004,44.75,-4.233333333333332
17,RCD Mallorca,7.00,0,0.4,0,0.1,3.50,La Liga,7.5,3.5,1.3333333333333333
18,CA Osasuna,0.25,13.45,0,1.60,3.45,4.15,La Liga,3.7,19.2,-5.166666666666667
19,Granada CF,7.25,0.3,0.4,3.32,0.13,4.99,La Liga,7.78,8.61,-0.2766666666666664
0,Juventus FC,188.50,200.45,259.70,110.70,164.40,145.70,Serie A,612.6,456.84999999999997,51.916666666666686
1,SSC Napoli,51.00,128.00,56.20,70.50,103.10,67.00,Serie A,210.3,265.5,-18.399999999999995
2,Inter Milan,25.00,19.50,156.47,47.74,97.60,82.10,Serie A,279.07,149.34,43.24333333333333
3,AC Milan,101.00,38.50,188.60,88.30,194.48,34.31,Serie A,484.08000000000004,161.11,107.65666666666668
4,AS Roma,109.00,104.30,131.10,150.46,96.15,155.00,Serie A,336.25,409.76,-24.50333333333333
5,SS Lazio,39.91,34.20,47.45,31.60,28.10,73.20,Serie A,115.46000000000001,139.0,-7.846666666666664
6,Atalanta BC,0,31.70,61.50,53.50,20.56,55.11,Serie A,82.06,140.31,-19.416666666666668
7,ACF Fiorentina,12.00,27.90,13.90,58.01,40.87,78.40,Serie A,66.77,164.31,-32.513333333333335
8,Torino FC,20.00,32.50,23.50,52.15,17.20,24.10,Serie A,60.7,108.75,-16.016666666666666
9,Cagliari Calcio,3.50,13.00,25.00,40.40,13.50,24.30,Serie A,42.0,77.7,-11.9
10,US Sassuolo,0,12.00,57.55,50.71,40.95,48.88,Serie A,98.5,111.59,-4.363333333333334
11,UC Sampdoria,12.00,54.16,56.54,55.20,57.37,53.45,Serie A,125.91,162.81,-12.300000000000002
12,Genoa CFC,19.50,0,50.00,51.50,55.42,81.96,Serie A,124.92,133.45999999999998,-2.846666666666659
13,Udinese Calcio,10.10,44.70,49.60,13.15,22.59,17.70,Serie A,82.29,75.55,2.2466666666666697
14,Brescia Calcio,15.85,0.1,3.90,0.5,3.22,3.60,Serie A,22.97,4.2,6.256666666666667
15,Bologna FC 1909,67.65,27.40,29.80,42.95,13.00,0,Serie A,110.45,70.35,13.366666666666669
16,Parma Calcio 1913,18.00,17.04,11.97,19.76,0.3,4.17,Serie A,30.27,40.97,-3.5666666666666664
17,SPAL,25.45,12.00,21.90,1.80,8.74,0.294,Serie A,56.089999999999996,14.094000000000001,13.998666666666665
18,Hellas Verona,12.34,7.30,1.35,4.15,3.05,8.05,Serie A,16.74,19.5,-0.9200000000000005
19,US Lecce,7.90,0.2,1.35,0.86,0.45,0,Serie A,9.7,1.06,2.8799999999999994
0,Bayern Munich,143.50,54.00,10.00,84.00,116.50,32.25,Bundesliga,270.0,170.25,33.25
1,Borussia Dortmund,127.50,73.50,90.50,114.20,109.84,260.95,Bundesliga,327.84000000000003,448.65,-40.26999999999998
2,RB Leipzig,47.50,19.00,65.63,72.75,63.50,24.54,Bundesliga,176.63,116.28999999999999,20.113333333333333
3,Bayer 04 Leverkusen,61.00,33.50,31.50,45.00,56.00,91.90,Bundesliga,148.5,170.4,-7.300000000000002
4,Borussia Mönchengladbach,1.80,39.50,38.10,32.55,32.95,37.25,Bundesliga,72.85,109.3,-12.15
