Pos,Team,P,W,D,L,F,A,GD,Pts
1,Galatasaray (C),34,26,5,3,82,34,48,83
2,Fenerbahçe,34,25,6,3,90,34,56,81
3,Beşiktaş,34,15,9,10,52,39,13,54
4,Trabzonspor,34,15,7,12,51,42,9,52
5,Kayserispor,34,15,6,13,59,42,17,51
6,Gençlerbirliği,34,14,9,11,47,39,8,51
7,Konyaspor,34,12,10,12,39,43,−4,46
8,Sivasspor,34,10,13,11,34,44,−10,43
9,Çaykur Rizespor,34,10,11,13,35,44,−9,41
10,Kayseri Erciyesspor,34,9,13,12,36,47,−11,40
11,Gaziantepspor,34,10,10,14,34,50,−16,40
12,Manisaspor,34,11,7,16,52,61,−9,40
13,MKE Ankaragücü,34,10,9,15,43,48,−5,39
14,Ankaraspor,34,9,12,13,44,51,−7,39
15,Denizlispor,34,9,10,15,41,50,−9,37
16,Malatyaspor (R),34,9,9,16,34,50,−16,36
17,Samsunspor (R),34,9,9,16,45,62,−17,36
18,Diyarbakırspor (R),34,8,5,21,31,69,−38,29
