,Nation,Name,Club,League
347,Argentina,Cristian Ansaldi,Torino,Serie A
351,Argentina,Federico Fazio,Roma,Serie A
293,Argentina,Gabriel Mercado,Sevilla,La Liga
140,Argentina,Giovani Lo Celso,Paris Saint-Germain,Ligue 1
89,Argentina,Gonzalo Higuaín,Juventus,Serie A
104,Argentina,Lionel Messi,Barcelona,La Liga
192,Argentina,Lucas Biglia,Milan,Serie A
133,Argentina,Marcos Acuña,Sporting CP,Primeira Liga
233,Argentina,Marcos Rojo,Manchester United,Premier League
116,Argentina,Maximiliano Meza,Independiente,Argentine Primera División
344,Argentina,Nahuel Guzmán,UANL,Liga MX
202,Argentina,Nicolás Otamendi,Manchester City,Premier League
163,Argentina,Nicolás Tagliafico,Ajax,Eredivisie
90,Argentina,Paulo Dybala,Juventus,Serie A
203,Argentina,Sergio Agüero,Manchester City,Premier League
258,Argentina,Willy Caballero,Chelsea,Premier League
139,Argentina,Ángel Di María,Paris Saint-Germain,Ligue 1
294,Argentina,Éver Banega,Sevilla,La Liga
275,Australia,Aaron Mooy,Huddersfield Town,EFL Championship
272,Australia,Andrew Nabbout,Urawa Red Diamonds,J1 League
278,Australia,Daniel Arzani,Melbourne City,A-League
279,Australia,Dimitri Petratos,Newcastle Jets,A-League
280,Australia,Jackson Irvine,Hull City,EFL Championship
266,Australia,James Meredith,Millwall,EFL Championship
271,Australia,Massimo Luongo,Queens Park Rangers,EFL Championship
269,Australia,Mathew Leckie,Hertha BSC,Bundesliga
268,Australia,Matthew Jurman,Suwon Samsung Bluewings,K League 1
5,Australia,Mile Jedinak,Aston Villa,Premier League
265,Australia,Miloš Degenek,Yokohama F. Marinos,J1 League
267,Australia,Tim Cahill,Millwall,EFL Championship
283,Australia,Tom Rogic,Celtic,Scottish Premiership
286,Belgium,Dedryck Boyata,Celtic,Scottish Premiership
263,Belgium,Eden Hazard,Chelsea,Premier League
309,Belgium,Jan Vertonghen,Tottenham Hotspur,Premier League
210,Belgium,Kevin De Bruyne,Manchester City,Premier League
459,Belgium,Koen Casteels,VfL Wolfsburg,Bundesliga
413,Belgium,Leander Dendoncker,Anderlecht,Belgian First Division A
236,Belgium,Marouane Fellaini,Manchester United,Premier League
180,Belgium,Michy Batshuayi,Borussia Dortmund,Bundesliga
310,Belgium,Mousa Dembélé,Tottenham Hotspur,Premier League
2,Belgium,Nacer Chadli,West Bromwich Albion,EFL Championship
237,Belgium,Romelu Lukaku,Manchester United,Premier League
24,Belgium,Simon Mignolet,Liverpool,Premier League
262,Belgium,Thibaut Courtois,Chelsea,Premier League
146,Belgium,Thomas Meunier,Paris Saint-Germain,Ligue 1
109,Belgium,Thomas Vermaelen,Barcelona,La Liga
308,Belgium,Toby Alderweireld,Tottenham Hotspur,Premier League
209,Belgium,Vincent Kompany,Manchester City,Premier League
187,Belgium,Youri Tielemans,Monaco,Ligue 1
352,Brazil,Alisson,Roma,Serie A
205,Brazil,Danilo,Manchester City,Premier League
92,Brazil,Douglas Costa,Juventus,Serie A
